year,category,prize,motivation,prize_share,laureate_id,laureate_type,full_name,birth_date,birth_city,birth_country,n_birth_country,sex,organization_name,organization_city,organization_country,death_date,death_city,death_country,n_death_country,religion
1937,Physics,The Nobel Prize in Physics 1937,"""for their experimental discovery of the diffraction of electrons by crystals""",1.פבר׳,45,Individual,George Paget Thomson,1892-05-03,Cambridge,United Kingdom,United Kingdom,Male,London University,London,United Kingdom,10.9.1975,Cambridge,United Kingdom,United Kingdom,פרוטסטנט
1937,Physics,The Nobel Prize in Physics 1937,"""for their experimental discovery of the diffraction of electrons by crystals""",1.פבר׳,44,Individual,Clinton Joseph Davisson,1881-10-22,"Bloomington, IL",United States of America,United States of America,Male,Bell Telephone Laboratories,"New York, NY",United States of America,1.2.1958,"Charlottesville, VA",United States of America,United States of America,פרוטסטנט
1938,Physics,The Nobel Prize in Physics 1938,"""for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons""",1.ינו׳,46,Individual,Enrico Fermi,29.9.1901,Rome,Italy,Italy,Male,Rome University,Rome,Italy,28.11.1954,"Chicago, IL",United States of America,United States of America,קתולי
1939,Physics,The Nobel Prize in Physics 1939,"""for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements""",1.ינו׳,47,Individual,Ernest Orlando Lawrence,8.8.1901,"Canton, SD",United States of America,United States of America,Male,University of California,"Berkeley, CA",United States of America,27.8.1958,"Palo Alto, CA",United States of America,United States of America,אנגליקן
1943,Physics,The Nobel Prize in Physics 1943,"""for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton""",1.ינו׳,48,Individual,Otto Stern,1888-02-17,Sorau (Zory),Germany (Poland),Poland,Male,Carnegie Institute of Technology,"Pittsburgh, PA",United States of America,17.8.1969,"Berkeley, CA",United States of America,United States of America,יהודי
1944,Physics,The Nobel Prize in Physics 1944,"""for his resonance method for recording the magnetic properties of atomic nuclei""",1.ינו׳,49,Individual,Isidor Isaac Rabi,1898-07-29,Rymanow,Austria-Hungary (Poland),Poland,Male,Columbia University,"New York, NY",United States of America,11.1.1988,"New York, NY",United States of America,United States of America,יהודי
1945,Physics,The Nobel Prize in Physics 1945,"""for the discovery of the Exclusion Principle, also called the Pauli Principle""",1.ינו׳,50,Individual,Wolfgang Pauli,25.4.1900,Vienna,Austria,Austria,Male,Princeton University,"Princeton, NJ",United States of America,15.12.1958,Zurich,Switzerland,Switzerland,קתולי
1946,Physics,The Nobel Prize in Physics 1946,"""for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics""",1.ינו׳,51,Individual,Percy Williams Bridgman,1882-04-21,"Cambridge, MA",United States of America,United States of America,Male,Harvard University,"Cambridge, MA",United States of America,20.8.1961,"Randolph, NH",United States of America,United States of America,פרוטסטנט
1947,Physics,The Nobel Prize in Physics 1947,"""for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer""",1.ינו׳,52,Individual,Sir Edward Victor Appleton,1892-09-06,Bradford,United Kingdom,United Kingdom,Male,Department of Scientific and Industrial Research,London,United Kingdom,21.4.1965,Edinburgh,Scotland,Scotland,פרוטסטנט
1948,Physics,The Nobel Prize in Physics 1948,"""for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation""",1.ינו׳,53,Individual,Patrick Maynard Stuart Blackett,1897-11-18,London,United Kingdom,United Kingdom,Male,Victoria University,Manchester,United Kingdom,13.7.1974,London,United Kingdom,United Kingdom,פרוטסטנט
1949,Physics,The Nobel Prize in Physics 1949,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""",1.ינו׳,54,Individual,Hideki Yukawa,23.1.1907,Tokyo,Japan,Japan,Male,Kyoto Imperial University,Kyoto,Japan,8.9.1981,Kyoto,Japan,Japan,פרוטסטנט
1950,Physics,The Nobel Prize in Physics 1950,"""for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method""",1.ינו׳,55,Individual,Cecil Frank Powell,5.12.1903,Tonbridge,United Kingdom,United Kingdom,Male,Bristol University,Bristol,United Kingdom,9.8.1969,NA,Italy,Italy,אנגליקן
1951,Physics,The Nobel Prize in Physics 1951,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",1.פבר׳,57,Individual,Ernest Thomas Sinton Walton,6.10.1903,Dungarvan,Ireland,Ireland,Male,Trinity College,Dublin,Ireland,25.6.1995,Belfast,Northern Ireland,Northern Ireland,פרוטסטנט
1951,Physics,The Nobel Prize in Physics 1951,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",1.פבר׳,56,Individual,Sir John Douglas Cockcroft,1897-05-27,Todmorden,United Kingdom,United Kingdom,Male,Atomic Energy Research Establishment,"Harwell, Berkshire",United Kingdom,18.9.1967,Cambridge,United Kingdom,United Kingdom,פרוטסטנט
1952,Physics,The Nobel Prize in Physics 1952,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",1.פבר׳,58,Individual,Felix Bloch,23.10.1905,Zurich,Switzerland,Switzerland,Male,Stanford University,"Stanford, CA",United States of America,10.9.1983,Zurich,Switzerland,Switzerland,יהודי
1952,Physics,The Nobel Prize in Physics 1952,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",1.פבר׳,59,Individual,Edward Mills Purcell,30.8.1912,"Taylorville, IL",United States of America,United States of America,Male,Harvard University,"Cambridge, MA",United States of America,7.3.1997,"Cambridge, MA",United States of America,United States of America,פרוטסטנט
1953,Physics,The Nobel Prize in Physics 1953,"""for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope""",1.ינו׳,60,Individual,Frits Zernike,1888-07-16,Amsterdam,Netherlands,Netherlands,Male,Groningen University,Groningen,Netherlands,10.3.1966,Groningen,Netherlands,Netherlands,פרוטסטנט
1954,Physics,The Nobel Prize in Physics 1954,"""for the coincidence method and his discoveries made therewith""",1.פבר׳,62,Individual,Walther Bothe,1891-01-08,Oranienburg,Germany,Germany,Male,University of Heidelberg,Heidelberg,Federal Republic of Germany,8.2.1957,Heidelberg,West Germany (Germany),Germany,
1954,Physics,The Nobel Prize in Physics 1954,"""for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction""",1.פבר׳,61,Individual,Max Born,1882-12-11,Breslau (Wroclaw),Germany (Poland),Poland,Male,Edinburgh University,Edinburgh,United Kingdom,5.1.1970,Göttingen,West Germany (Germany),Germany,יהודי
1955,Physics,The Nobel Prize in Physics 1955,"""for his precision determination of the magnetic moment of the electron""",1.פבר׳,64,Individual,Polykarp Kusch,26.1.1911,Blankenburg,Germany,Germany,Male,Columbia University,"New York, NY",United States of America,20.3.1993,"Dallas, TX",United States of America,United States of America,
1955,Physics,The Nobel Prize in Physics 1955,"""for his discoveries concerning the fine structure of the hydrogen spectrum""",1.פבר׳,63,Individual,Willis Eugene Lamb,12.7.1913,"Los Angeles, CA",United States of America,United States of America,Male,Stanford University,"Stanford, CA",United States of America,15.5.2008,"Tucson, AZ",United States of America,United States of America,פרוטסטנט
1956,Physics,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",1.מרץ,67,Individual,Walter Houser Brattain,10.2.1902,Amoy,China,China,Male,Bell Telephone Laboratories,"Murray Hill, NJ",United States of America,13.10.1987,"Seattle, WA",United States of America,United States of America,פרוטסטנט
1956,Physics,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",1.מרץ,65,Individual,William Bradford Shockley,13.2.1910,London,United Kingdom,United Kingdom,Male,"Semiconductor Laboratory of Beckman Instruments, Inc.","Mountain View, CA",United States of America,12.8.1989,"Palo Alto, CA",United States of America,United States of America,פרוטסטנט
1956,Physics,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",1.מרץ,66,Individual,John Bardeen,23.5.1908,"Madison, WI",United States of America,United States of America,Male,University of Illinois,"Urbana, IL",United States of America,30.1.1991,"Boston, MA",United States of America,United States of America,פרוטסטנט
1957,Physics,The Nobel Prize in Physics 1957,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",1.פבר׳,68,Individual,Chen Ning Yang,22.9.1922,"Hofei, Anhwei",China,China,Male,Institute for Advanced Study,"Princeton, NJ",United States of America,NA,NA,NA,NA,פרוטסטנט
1957,Physics,The Nobel Prize in Physics 1957,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",1.פבר׳,69,Individual,Tsung-Dao (T.D.) Lee,24.11.1926,Shanghai,China,China,Male,Columbia University,"New York, NY",United States of America,NA,NA,NA,NA,פרוטסטנט
1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",1.מרץ,70,Individual,Pavel Alekseyevich Cherenkov,28.7.1904,Novaya Chigla,Russia,Russia,Male,P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics,6.1.1990,NA,Union of Soviet Socialist Republics,Russia,-
1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",1.מרץ,71,Individual,Igor Yevgenyevich Tamm,1895-07-08,Vladivostok,Russia,Russia,Male,University of Moscow,Moscow,Union of Soviet Socialist Republics,12.4.1971,Moscow,Union of Soviet Socialist Republics (Russia),Russia,-
1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",1.מרץ,721,Individual,Il´ja Mikhailovich Frank,23.10.1908,Leningrad (Saint Petersburg),Russia,Russia,Male,University of Moscow,Moscow,Union of Soviet Socialist Republics,22.6.1990,Moscow,Union of Soviet Socialist Republics (Russia),Russia,-
1959,Physics,The Nobel Prize in Physics 1959,"""for their discovery of the antiproton""",1.פבר׳,72,Individual,Emilio Gino Segrè,1.2.1905,Tivoli,Italy,Italy,Male,University of California,"Berkeley, CA",United States of America,22.4.1989,"Lafayette, CA",United States of America,United States of America,יהודי
1959,Physics,The Nobel Prize in Physics 1959,"""for their discovery of the antiproton""",1.פבר׳,73,Individual,Owen Chamberlain,10.7.1920,"San Francisco, CA",United States of America,United States of America,Male,University of California,"Berkeley, CA",United States of America,28.2.2006,"Berkeley, CA",United States of America,United States of America,פרוטסטנט
1960,Physics,The Nobel Prize in Physics 1960,"""for the invention of the bubble chamber""",1.ינו׳,74,Individual,Donald Arthur Glaser,21.9.1926,"Cleveland, OH",United States of America,United States of America,Male,University of California,"Berkeley, CA",United States of America,28.2.2013,"Berkeley, CA",United States of America,United States of America,יהודי
1961,Physics,The Nobel Prize in Physics 1961,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""",1.פבר׳,76,Individual,Rudolf Ludwig Mössbauer,31.1.1929,Munich,Germany,Germany,Male,Technical University,Munich,Federal Republic of Germany,14.9.2011,NA,NA,NA,יהודי
1961,Physics,The Nobel Prize in Physics 1961,"""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons""",1.פבר׳,75,Individual,Robert Hofstadter,5.2.1915,"New York, NY",United States of America,United States of America,Male,Stanford University,"Stanford, CA",United States of America,17.11.1990,"Stanford, CA",United States of America,United States of America,פרוטסטנט
1962,Physics,The Nobel Prize in Physics 1962,"""for his pioneering theories for condensed matter, especially liquid helium""",1.ינו׳,77,Individual,Lev Davidovich Landau,22.1.1908,Baku,Russian Empire (Azerbaijan),Azerbaijan,Male,Academy of Sciences,Moscow,Union of Soviet Socialist Republics,1.4.1968,Moscow,Union of Soviet Socialist Republics (Russia),Russia,יהודי
1963,Physics,The Nobel Prize in Physics 1963,"""for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles""",1.פבר׳,78,Individual,Eugene Paul Wigner,17.11.1902,Budapest,Austria-Hungary (Hungary),Hungary,Male,Princeton University,"Princeton, NJ",United States of America,1.1.1995,"Princeton, NJ",United States of America,United States of America,יהודי
1963,Physics,The Nobel Prize in Physics 1963,"""for their discoveries concerning nuclear shell structure""",1.אפר׳,79,Individual,Maria Goeppert Mayer,28.6.1906,Kattowitz (Katowice),Germany (Poland),Poland,Female,University of California,"San Diego, CA",United States of America,20.2.1972,"San Diego, CA",United States of America,United States of America,
1963,Physics,The Nobel Prize in Physics 1963,"""for their discoveries concerning nuclear shell structure""",1.אפר׳,80,Individual,J. Hans D. Jensen,25.6.1907,Hamburg,Germany,Germany,Male,University of Heidelberg,Heidelberg,Federal Republic of Germany,11.2.1973,Heidelberg,West Germany (Germany),Germany,
1964,Physics,The Nobel Prize in Physics 1964,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",1.אפר׳,83,Individual,Aleksandr Mikhailovich Prokhorov,11.7.1916,Atherton,Australia,Australia,Male,P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics,8.1.2002,Moscow,Russia,Russia,-
1964,Physics,The Nobel Prize in Physics 1964,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",1.אפר׳,82,Individual,Nicolay Gennadiyevich Basov,14.12.1922,Usman,Union of Soviet Socialist Republics (Russia),Russia,Male,P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics,1.7.2001,Moscow,Russia,Russia,-
1964,Physics,The Nobel Prize in Physics 1964,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",1.פבר׳,81,Individual,Charles Hard Townes,28.7.1915,"Greenville, SC",United States of America,United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,27.1.2015,"Berkeley, CA",United States of America,United States of America,פרוטסטנט
1965,Physics,The Nobel Prize in Physics 1965,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",1.מרץ,84,Individual,Sin-Itiro Tomonaga,31.3.1906,Kyoto,Japan,Japan,Male,Tokyo University of Education,Tokyo,Japan,8.7.1979,Tokyo,Japan,Japan,-
1965,Physics,The Nobel Prize in Physics 1965,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",1.מרץ,85,Individual,Julian Schwinger,12.2.1918,"New York, NY",United States of America,United States of America,Male,Harvard University,"Cambridge, MA",United States of America,16.7.1994,"Los Angeles, CA",United States of America,United States of America,יהודי
1965,Physics,The Nobel Prize in Physics 1965,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",1.מרץ,86,Individual,Richard P. Feynman,11.5.1918,"New York, NY",United States of America,United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,15.2.1988,"Los Angeles, CA",United States of America,United States of America,יהודי
1966,Physics,The Nobel Prize in Physics 1966,"""for the discovery and development of optical methods for studying Hertzian resonances in atoms""",1.ינו׳,87,Individual,Alfred Kastler,3.5.1902,Guebwiller,Germany (France),France,Male,École Normale Supérieure,Paris,France,7.1.1984,Bandol,France,France,פרוטסטנט
1967,Physics,The Nobel Prize in Physics 1967,"""for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars""",1.ינו׳,88,Individual,Hans Albrecht Bethe,2.7.1906,Strassburg (Strasbourg),Germany (France),France,Male,Cornell University,"Ithaca, NY",United States of America,6.3.2005,"Ithaca, NY",United States of America,United States of America,יהודי
1968,Physics,The Nobel Prize in Physics 1968,"""for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis""",1.ינו׳,89,Individual,Luis Walter Alvarez,13.6.1911,"San Francisco, CA",United States of America,United States of America,Male,University of California,"Berkeley, CA",United States of America,1.9.1988,"Berkeley, CA",United States of America,United States of America,פרוטסטנט
1969,Physics,The Nobel Prize in Physics 1969,"""for his contributions and discoveries concerning the classification of elementary particles and their interactions""",1.ינו׳,90,Individual,Murray Gell-Mann,15.9.1929,"New York, NY",United States of America,United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,NA,NA,NA,NA,יהודי
1970,Physics,The Nobel Prize in Physics 1970,"""for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics""",1.פבר׳,92,Individual,Louis Eugène Félix Néel,22.11.1904,Lyon,France,France,Male,University of Grenoble,Grenoble,France,17.11.2000,Brive-Corrèze,France,France,-
1970,Physics,The Nobel Prize in Physics 1970,"""for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics""",1.פבר׳,91,Individual,Hannes Olof Gösta Alfvén,30.5.1908,Norrköping,Sweden,Sweden,Male,Royal Institute of Technology,Stockholm,Sweden,2.4.1995,Djursholm,Sweden,Sweden,פרוטסטנט
1971,Physics,The Nobel Prize in Physics 1971,"""for his invention and development of the holographic method""",1.ינו׳,93,Individual,Dennis Gabor,5.6.1900,Budapest,Hungary,Hungary,Male,Imperial College,London,United Kingdom,8.2.1979,London,United Kingdom,United Kingdom,פרוטסטנט
1972,Physics,The Nobel Prize in Physics 1972,"""for their jointly developed theory of superconductivity, usually called the BCS-theory""",1.מרץ,95,Individual,Leon Neil Cooper,28.2.1930,"New York, NY",United States of America,United States of America,Male,Brown University,"Providence, RI",United States of America,NA,NA,NA,NA,פרוטסטנט
1972,Physics,The Nobel Prize in Physics 1972,"""for their jointly developed theory of superconductivity, usually called the BCS-theory""",1.מרץ,96,Individual,John Robert Schrieffer,31.5.1931,"Oak Park, IL",United States of America,United States of America,Male,University of Pennsylvania,"Philadelphia, PA",United States of America,NA,NA,NA,NA,פרוטסטנט
1972,Physics,The Nobel Prize in Physics 1972,"""for their jointly developed theory of superconductivity, usually called the BCS-theory""",1.מרץ,66,Individual,John Bardeen,23.5.1908,"Madison, WI",United States of America,United States of America,Male,University of Illinois,"Urbana, IL",United States of America,30.1.1991,"Boston, MA",United States of America,United States of America,פרוטסטנט
1973,Physics,The Nobel Prize in Physics 1973,"""for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects""",1.פבר׳,99,Individual,Brian David Josephson,4.1.1940,Cardiff,United Kingdom,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,NA,NA,NA,NA,יהודי
1973,Physics,The Nobel Prize in Physics 1973,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively""",1.אפר׳,97,Individual,Leo Esaki,12.3.1925,Osaka,Japan,Japan,Male,IBM Thomas J. Watson Research Center,"Yorktown Heights, NY",United States of America,NA,NA,NA,NA,פרוטסטנט
1973,Physics,The Nobel Prize in Physics 1973,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively""",1.אפר׳,98,Individual,Ivar Giaever,5.4.1929,Bergen,Norway,Norway,Male,General Electric Company,"Schenectady, NY",United States of America,NA,NA,NA,NA,פרוטסטנט
1974,Physics,The Nobel Prize in Physics 1974,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars""",1.פבר׳,101,Individual,Antony Hewish,11.5.1924,Fowey,United Kingdom,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,NA,NA,NA,NA,פרוטסטנט
1974,Physics,The Nobel Prize in Physics 1974,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars""",1.פבר׳,100,Individual,Sir Martin Ryle,27.9.1918,Brighton,United Kingdom,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,14.10.1984,Cambridge,United Kingdom,United Kingdom,אנגליקן
1975,Physics,The Nobel Prize in Physics 1975,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",1.מרץ,102,Individual,Aage Niels Bohr,19.6.1922,Copenhagen,Denmark,Denmark,Male,Niels Bohr Institute,Copenhagen,Denmark,8.9.2009,Copenhagen,Denmark,Denmark,פרוטסטנט
1975,Physics,The Nobel Prize in Physics 1975,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",1.מרץ,103,Individual,Ben Roy Mottelson,9.7.1926,"Chicago, IL",United States of America,United States of America,Male,Nordita,Copenhagen,Denmark,NA,NA,NA,NA,פרוטסטנט
1975,Physics,The Nobel Prize in Physics 1975,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",1.מרץ,104,Individual,Leo James Rainwater,9.12.1917,"Council, ID",United States of America,United States of America,Male,Columbia University,"New York, NY",United States of America,31.3.1986,"Yonkers, NY",United States of America,United States of America,-
1976,Physics,The Nobel Prize in Physics 1976,"""for their pioneering work in the discovery of a heavy elementary particle of a new kind""",1.פבר׳,105,Individual,Burton Richter,22.3.1931,"Brooklyn, NY",United States of America,United States of America,Male,Stanford Linear Accelerator Center,"Stanford, CA",United States of America,NA,NA,NA,NA,יהודי
1976,Physics,The Nobel Prize in Physics 1976,"""for their pioneering work in the discovery of a heavy elementary particle of a new kind""",1.פבר׳,106,Individual,Samuel Chao Chung Ting,27.1.1936,"Ann Arbor, MI",United States of America,United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,NA,NA,NA,NA,פרוטסטנט
1977,Physics,The Nobel Prize in Physics 1977,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",1.מרץ,107,Individual,Philip Warren Anderson,13.12.1923,"Indianapolis, IN",United States of America,United States of America,Male,Bell Telephone Laboratories,"Murray Hill, NJ",United States of America,NA,NA,NA,NA,-
1977,Physics,The Nobel Prize in Physics 1977,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",1.מרץ,108,Individual,Sir Nevill Francis Mott,30.9.1905,Leeds,United Kingdom,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,8.8.1996,Milton Keynes,United Kingdom,United Kingdom,-
1977,Physics,The Nobel Prize in Physics 1977,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",1.מרץ,109,Individual,John Hasbrouck van Vleck,1899-03-13,"Middletown, CT",United States of America,United States of America,Male,Harvard University,"Cambridge, MA",United States of America,27.10.1980,"Cambridge, MA",United States of America,United States of America,-
1978,Physics,The Nobel Prize in Physics 1978,"""for their discovery of cosmic microwave background radiation""",1.אפר׳,111,Individual,Arno Allan Penzias,26.4.1933,Munich,Germany,Germany,Male,Bell Laboratories,"Holmdel, NJ",United States of America,NA,NA,NA,NA,יהודי
1978,Physics,The Nobel Prize in Physics 1978,"""for their discovery of cosmic microwave background radiation""",1.אפר׳,112,Individual,Robert Woodrow Wilson,10.1.1936,"Houston, TX",United States of America,United States of America,Male,Bell Laboratories,"Holmdel, NJ",United States of America,NA,NA,NA,NA,-
1978,Physics,The Nobel Prize in Physics 1978,"""for his basic inventions and discoveries in the area of low-temperature physics""",1.פבר׳,110,Individual,Pyotr Leonidovich Kapitsa,1894-07-09,Kronshtadt,Russian Empire (Russia),Russia,Male,Academy of Sciences,Moscow,Union of Soviet Socialist Republics,8.4.1984,Moscow,Union of Soviet Socialist Republics (Russia),Russia,
1979,Physics,The Nobel Prize in Physics 1979,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",1.מרץ,113,Individual,Sheldon Lee Glashow,5.12.1932,"New York, NY",United States of America,United States of America,Male,"Harvard University, Lyman Laboratory","Cambridge, MA",United States of America,NA,NA,NA,NA,יהודי
1979,Physics,The Nobel Prize in Physics 1979,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",1.מרץ,115,Individual,Steven Weinberg,3.5.1933,"New York, NY",United States of America,United States of America,Male,Harvard University,"Cambridge, MA",United States of America,NA,NA,NA,NA,יהודי
1979,Physics,The Nobel Prize in Physics 1979,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",1.מרץ,114,Individual,Abdus Salam,29.1.1926,Jhang Maghi&#257;na,India (Pakistan),Pakistan,Male,International Centre for Theoretical Physics,Trieste,Italy,21.11.1996,Oxford,United Kingdom,United Kingdom,מוסלמי
1980,Physics,The Nobel Prize in Physics 1980,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",1.פבר׳,116,Individual,James Watson Cronin,29.9.1931,"Chicago, IL",United States of America,United States of America,Male,University of Chicago,"Chicago, IL",United States of America,25.8.2016,"St. Paul, MN",United States of America,United States of America,פרוטסטנט
1980,Physics,The Nobel Prize in Physics 1980,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",1.פבר׳,117,Individual,Val Logsdon Fitch,10.3.1923,"Merriman, NE",United States of America,United States of America,Male,Princeton University,"Princeton, NJ",United States of America,5.2.2015,"Princeton, NJ",United States of America,United States of America,פרוטסטנט
1981,Physics,The Nobel Prize in Physics 1981,"""for their contribution to the development of laser spectroscopy""",1.אפר׳,118,Individual,Nicolaas Bloembergen,11.3.1920,Dordrecht,Netherlands,Netherlands,Male,Harvard University,"Cambridge, MA",United States of America,NA,NA,NA,NA,פרוטסטנט
1981,Physics,The Nobel Prize in Physics 1981,"""for his contribution to the development of high-resolution electron spectroscopy""",1.פבר׳,120,Individual,Kai M. Siegbahn,20.4.1918,Lund,Sweden,Sweden,Male,Uppsala University,Uppsala,Sweden,20.7.2007,Ängelholm,Sweden,Sweden,
1981,Physics,The Nobel Prize in Physics 1981,"""for their contribution to the development of laser spectroscopy""",1.אפר׳,119,Individual,Arthur Leonard Schawlow,5.5.1921,"Mount Verno, NY",United States of America,United States of America,Male,Stanford University,"Stanford, CA",United States of America,28.4.1999,"Palo Alto, CA",United States of America,United States of America,פרוטסטנט
1982,Physics,The Nobel Prize in Physics 1982,"""for his theory for critical phenomena in connection with phase transitions""",1.ינו׳,121,Individual,Kenneth G. Wilson,8.6.1936,"Waltham, MA",United States of America,United States of America,Male,Cornell University,"Ithaca, NY",United States of America,15.6.2013,"Saco, ME",United States of America,United States of America,פרוטסטנט
1983,Physics,The Nobel Prize in Physics 1983,"""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars""",1.פבר׳,122,Individual,Subramanyan Chandrasekhar,19.10.1910,Lahore,India (Pakistan),Pakistan,Male,University of Chicago,"Chicago, IL",United States of America,21.8.1995,"Chicago, IL",United States of America,United States of America,הינדו
1983,Physics,The Nobel Prize in Physics 1983,"""for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe""",1.פבר׳,123,Individual,William Alfred Fowler,9.8.1911,"Pittsburgh, PA",United States of America,United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,14.3.1995,"Pasadena, CA",United States of America,United States of America,פרוטסטנט
1984,Physics,The Nobel Prize in Physics 1984,"""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction""",1.פבר׳,124,Individual,Carlo Rubbia,31.3.1934,Gorizia,Italy,Italy,Male,CERN,Geneva,Switzerland,NA,Geneva,Switzerland,Switzerland,פרוטסטנט
1984,Physics,The Nobel Prize in Physics 1984,"""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction""",1.פבר׳,125,Individual,Simon van der Meer,24.11.1925,the Hague,Netherlands,Netherlands,Male,CERN,Geneva,Switzerland,4.3.2011,Geneva,Switzerland,Switzerland,-
1985,Physics,The Nobel Prize in Physics 1985,"""for the discovery of the quantized Hall effect""",1.ינו׳,126,Individual,Klaus von Klitzing,28.6.1943,Schroda,German-occupied Poland (Poland),Poland,Male,Max-Planck-Institut für Festkörperforschung,Stuttgart,Federal Republic of Germany,NA,NA,NA,NA,פרוטסטנט
